Дата рождения,Имя,Фамилия,Отчество,Код клиента,day,month,year,birth_date
19861005 Москва,Алексей,Абдулин,Варламович,15,19.0,86.0,1005,1005-86-19
19861005 Москва,Бажен,Борыков,Владимирович,40,19.0,86.0,1005,1005-86-19
19861005 Москва,Владлен,Бражников,Валериевич,65,19.0,86.0,1005,1005-86-19
05.10.2226,Всеслав,Братанов,Варфоломеевич,71,5.0,10.0,2226,2226-10-05
05.10.2306,Вышеслав,Братишкин,Васильевич,72,5.0,10.0,2306,2306-10-05
19861005 Москва,Демид,Выходцев,Владиленович,90,19.0,86.0,1005,1005-86-19
19861005 Москва,Захар,Вяхирев,Валерьянович,115,19.0,86.0,1005,1005-86-19
19861005 Москва,Ким,Гомбоев,Витольдович,140,19.0,86.0,1005,1005-86-19
19861005 Москва,Аглая,Гончарик,Аверьяновна,165,19.0,86.0,1005,1005-86-19
19861005 Москва,Борислава,Демьяненко, Алексеевна,190,19.0,86.0,1005,1005-86-19
19861005 Москва,Дарья,Дербышева, Антониновна,215,19.0,86.0,1005,1005-86-19
19861005 Москва,Казимира,Джавадова,Асафовна,240,19.0,86.0,1005,1005-86-19
19861005 Москва,Ипат,Жаворонков,Иакинфович,265,19.0,86.0,1005,1005-86-19
19861005 Москва,Лаврентий,Жбанов,Иринеевич,290,19.0,86.0,1005,1005-86-19
19861005 Москва,Терентий,Железный,Клавдиевич,315,19.0,86.0,1005,1005-86-19
19861005 Москва,Фотий,Иванишин,Игнатович,340,19.0,86.0,1005,1005-86-19
05.10.3986,Эдуард,Иванко,Изотович,346,5.0,10.0,3986,3986-10-05
19861005 Москва,Мефодий,Иванчихин,Исаакиевич,365,19.0,86.0,1005,1005-86-19
19861005 Москва,Никифор,Ивашин,Памфилович,390,19.0,86.0,1005,1005-86-19
19861005 Москва,Потап,Лавриненков,Порфирович,415,19.0,86.0,1005,1005-86-19
19861005 Москва,Селиван,Ладынин,Ремович,440,19.0,86.0,1005,1005-86-19
05.10.4626,Ксения,Лазаричева,Саввична,446,5.0,10.0,4626,4626-10-05
05.10.4706,Лада,Лазебникова,Савватеевна,447,5.0,10.0,4706,4706-10-05
19861005 Москва,Алексей,Абдулин,Варламович,697,19.0,86.0,1005,1005-86-19
19861005 Москва,Бажен,Борыков,Владимирович,722,19.0,86.0,1005,1005-86-19
19861005 Москва,Владлен,Бражников,Валериевич,747,19.0,86.0,1005,1005-86-19
05.10.2226,Всеслав,Братанов,Варфоломеевич,753,5.0,10.0,2226,2226-10-05
05.10.2306,Вышеслав,Братишкин,Васильевич,754,5.0,10.0,2306,2306-10-05
19861005 Москва,Демид,Выходцев,Владиленович,772,19.0,86.0,1005,1005-86-19
19861005 Москва,Захар,Вяхирев,Валерьянович,797,19.0,86.0,1005,1005-86-19
19861005 Москва,Ким,Гомбоев,Витольдович,822,19.0,86.0,1005,1005-86-19
19861005 Москва,Аглая,Гончарик,Аверьяновна,847,19.0,86.0,1005,1005-86-19
19861005 Москва,Борислава,Демьяненко, Алексеевна,872,19.0,86.0,1005,1005-86-19
19861005 Москва,Дарья,Дербышева, Антониновна,897,19.0,86.0,1005,1005-86-19
19861005 Москва,Казимира,Джавадова,Асафовна,922,19.0,86.0,1005,1005-86-19
19861005 Москва,Ипат,Жаворонков,Иакинфович,947,19.0,86.0,1005,1005-86-19
19861005 Москва,Лаврентий,Жбанов,Иринеевич,972,19.0,86.0,1005,1005-86-19
19861005 Москва,Терентий,Железный,Клавдиевич,997,19.0,86.0,1005,1005-86-19
19861005 Москва,Фотий,Иванишин,Игнатович,1022,19.0,86.0,1005,1005-86-19
05.10.3986,Эдуард,Иванко,Изотович,1028,5.0,10.0,3986,3986-10-05
19861005 Москва,Мефодий,Иванчихин,Исаакиевич,1047,19.0,86.0,1005,1005-86-19
19861005 Москва,Никифор,Ивашин,Памфилович,1072,19.0,86.0,1005,1005-86-19
19861005 Москва,Потап,Лавриненков,Порфирович,1097,19.0,86.0,1005,1005-86-19
19861005 Москва,Селиван,Ладынин,Ремович,1122,19.0,86.0,1005,1005-86-19
05.10.4626,Ксения,Лазаричева,Саввична,1128,5.0,10.0,4626,4626-10-05
05.10.4706,Лада,Лазебникова,Савватеевна,1129,5.0,10.0,4706,4706-10-05
