Дата рождения,Имя,Фамилия,Отчество,Код клиента,day,month,year,birth_date
05.10.1986,Август,Абаимов,Бенедиктович,1,05,10,1986,1986-10-05
2-я-1990,Авдей,Абакумов,Богданович,2,,,,2-я-1990
12.янв.90,Аверкий,Абакшин,Болеславович,3,12,01,1990,1990-01-12
15 августа 1957,Аверьян,Абалакин,Бонифатович,4,15,08,1957,1957-08-15
15 мая 1954,Авксентий,Абалаков,Бонифатиевич,5,15,05,1954,1954-05-15
08.май.54,Автоном,Абалдуев,Борисович,6,08,05,1954,1954-05-08
15.сен.56,Агап,Абалкин,Бориславович,7,15,09,1956,1956-09-15
25 мак 59,Агафон,Абатурин,Брониславович,8,25,05,1959,1959-05-25
15.12.1845,Аггей,Абатуров,Вавилич,9,15,12,1845,1845-12-15
1947,Адам,Абашев,Вадимович,10,,,,1947
1951 год,Андриян,Абашин,Валентинович,11,,,,1951 год
1986 Feb 10 Питер,Азарий,Абашкин,Валерианович,12,,,,1986 Feb 10 Питер
10.05.1986,Аким,Абаянцев,Валерьянович,13,10,05,1986,1986-05-10
05.05.1986,Александр,Абдула,Валериевич,14,05,05,1986,1986-05-05
19861005 Москва,Алексей,Абдулин,Варламович,15,,,,19861005 Москва
25.05.1986,Амвросий,Абдулов,Варламиевич,16,25,05,1986,1986-05-25
04.05.1986,Амос,Абоимов,Варнавич,17,04,05,1986,1986-05-04
5-10-1986 город Коломна,Ананий,Абраменко,Варсонофович,18,5,10,1986,1986-10-05
05.05.1952,Анатолий,Абрамкин,Варсонофиевич,19,05,05,1952,1952-05-05
05.01.1986,Андрей,Абрамов ,Варфоломеевич,20,05,01,1986,1986-01-05
05.10.1906,Андрон,Борищенко,Васильевич,21,05,10,1906,1906-10-05
05.10.1986,Андроник,Борков,Вассианович,22,05,10,1986,1986-10-05
05.10.1986,Аникей,Борковский,Велизарович,23,05,10,1986,1986-10-05
дата 05101986,Аникита,Боровик,Велимирович,24,,,,дата 05101986
дата 15 January 1959,Анисим,Боровицкий,Венедиктович,25,,,,дата 15 January 1959
дата 1986/05 Москва,Антип,Боровко,Вениаминович,26,,,,дата 1986/05 Москва
дата рождения 5.10.1986,Антонин,Боровков,Веньяминович,27,5,10,1986,1986-10-05
рождения 05/10/1986Москва,Аполлинарий,Боровлев,Венцеславович,28,05,10,1986,1986-10-05
05.10.1987,Аполлон,Боровов,Викентиевич,29,05,10,1987,1987-10-05
12.янв.91,Арефий,Боровой,Викторович,30,12,01,1991,1991-01-12
16 августа 1957,Аристарх,Бородин,Викториевич,31,16,08,1957,1957-08-16
16 мая 1954,Аркадий,Бородинов,Викулович,32,16,05,1954,1954-05-16
16.сен.56,Арсений,Бородихин,Викулич,33,16,09,1956,1956-09-16
15.12.1846,Артемий,Бородулин,Виленович,34,15,12,1846,1846-12-15
1948,Артем,Бородыня,Вильгельмович,35,,,,1948
1952 год,Архип,Бороздин,Виссарионович,36,,,,1952 год
1987 Feb 10 Питер,Аскольд,Боронин,Виталиевич,37,,,,1987 Feb 10 Питер
09.05.1986,Афанасий,Бортенев,Витольдович,38,09,05,1986,1986-05-09
13.05.1986,Афиноген,Бортников,Владиленович,39,13,05,1986,1986-05-13
19861005 Москва,Бажен,Борыков,Владимирович,40,,,,19861005 Москва
25.05.1987,Богдан,Борягин,Владиславович,41,25,05,1987,1987-05-25
04.05.1987,Болеслав,Боряков,Владленович,42,04,05,1987,1987-05-04
5-10-1986 город Коломна,Борис,yосолаев,Власович,43,5,10,1986,1986-10-05
05.05.1953,Борислав,Босулаев,Власиевич,44,05,05,1953,1953-05-05
05.01.1987,Боян,Босый,Вонифатович,45,05,01,1987,1987-01-05
05.10.1966,Бронислав,Боталов,Вонифатиевич,46,05,10,1966,1966-10-05
05.10.1946,Будимир,Боташев,Всеволодович,47,05,10,1946,1946-10-05
05.10.1987,Вадим,Боташов,Всеславович,48,05,10,1987,1987-10-05
дата 05101987,Валентин,Ботвин,Вуколович,49,,,,дата 05101987
дата 15 January 1960,Валерий,Боткин,Вышеславович,50,,,,дата 15 January 1960
дата 1986/05 Москва,Валерьян,Боцян,Вячеславович,51,,,,дата 1986/05 Москва
дата рождения 5.10.1987,Варлаам,Боцяновский,Бенедиктович,52,5,10,1987,1987-10-05
рождения 05/10/1986Москва,Варфоломей,Бочагов,Богданович,53,05,10,1986,1986-10-05
05.10.1988,Василий,Бочарников,Болеславович,54,05,10,1988,1988-10-05
