Дата рождения,Имя,Фамилия,Отчество,Код клиента,day,month,year,birth_date
19861005 Москва,Алексей,Абдулин,Варламович,15,5,10,1986,1986-10-05
19861005 Москва,Бажен,Борыков,Владимирович,40,5,10,1986,1986-10-05
19861005 Москва,Владлен,Бражников,Валериевич,65,5,10,1986,1986-10-05
05.10.2226,Всеслав,Братанов,Варфоломеевич,71,,,,
05.10.2306,Вышеслав,Братишкин,Васильевич,72,,,,
19861005 Москва,Демид,Выходцев,Владиленович,90,5,10,1986,1986-10-05
19861005 Москва,Захар,Вяхирев,Валерьянович,115,5,10,1986,1986-10-05
19861005 Москва,Ким,Гомбоев,Витольдович,140,5,10,1986,1986-10-05
19861005 Москва,Аглая,Гончарик,Аверьяновна,165,5,10,1986,1986-10-05
19861005 Москва,Борислава,Демьяненко, Алексеевна,190,5,10,1986,1986-10-05
19861005 Москва,Дарья,Дербышева, Антониновна,215,5,10,1986,1986-10-05
19861005 Москва,Казимира,Джавадова,Асафовна,240,5,10,1986,1986-10-05
19861005 Москва,Ипат,Жаворонков,Иакинфович,265,5,10,1986,1986-10-05
19861005 Москва,Лаврентий,Жбанов,Иринеевич,290,5,10,1986,1986-10-05
19861005 Москва,Терентий,Железный,Клавдиевич,315,5,10,1986,1986-10-05
19861005 Москва,Фотий,Иванишин,Игнатович,340,5,10,1986,1986-10-05
05.10.3986,Эдуард,Иванко,Изотович,346,,,,
19861005 Москва,Мефодий,Иванчихин,Исаакиевич,365,5,10,1986,1986-10-05
19861005 Москва,Никифор,Ивашин,Памфилович,390,5,10,1986,1986-10-05
19861005 Москва,Потап,Лавриненков,Порфирович,415,5,10,1986,1986-10-05
19861005 Москва,Селиван,Ладынин,Ремович,440,5,10,1986,1986-10-05
05.10.4626,Ксения,Лазаричева,Саввична,446,,,,
05.10.4706,Лада,Лазебникова,Савватеевна,447,,,,
19861005 Москва,Алексей,Абдулин,Варламович,697,5,10,1986,1986-10-05
19861005 Москва,Бажен,Борыков,Владимирович,722,5,10,1986,1986-10-05
19861005 Москва,Владлен,Бражников,Валериевич,747,5,10,1986,1986-10-05
05.10.2226,Всеслав,Братанов,Варфоломеевич,753,,,,
05.10.2306,Вышеслав,Братишкин,Васильевич,754,,,,
19861005 Москва,Демид,Выходцев,Владиленович,772,5,10,1986,1986-10-05
19861005 Москва,Захар,Вяхирев,Валерьянович,797,5,10,1986,1986-10-05
19861005 Москва,Ким,Гомбоев,Витольдович,822,5,10,1986,1986-10-05
19861005 Москва,Аглая,Гончарик,Аверьяновна,847,5,10,1986,1986-10-05
19861005 Москва,Борислава,Демьяненко, Алексеевна,872,5,10,1986,1986-10-05
19861005 Москва,Дарья,Дербышева, Антониновна,897,5,10,1986,1986-10-05
19861005 Москва,Казимира,Джавадова,Асафовна,922,5,10,1986,1986-10-05
19861005 Москва,Ипат,Жаворонков,Иакинфович,947,5,10,1986,1986-10-05
19861005 Москва,Лаврентий,Жбанов,Иринеевич,972,5,10,1986,1986-10-05
19861005 Москва,Терентий,Железный,Клавдиевич,997,5,10,1986,1986-10-05
19861005 Москва,Фотий,Иванишин,Игнатович,1022,5,10,1986,1986-10-05
05.10.3986,Эдуард,Иванко,Изотович,1028,,,,
19861005 Москва,Мефодий,Иванчихин,Исаакиевич,1047,5,10,1986,1986-10-05
19861005 Москва,Никифор,Ивашин,Памфилович,1072,5,10,1986,1986-10-05
19861005 Москва,Потап,Лавриненков,Порфирович,1097,5,10,1986,1986-10-05
19861005 Москва,Селиван,Ладынин,Ремович,1122,5,10,1986,1986-10-05
05.10.4626,Ксения,Лазаричева,Саввична,1128,,,,
05.10.4706,Лада,Лазебникова,Савватеевна,1129,,,,
