Дата рождения,Имя,Фамилия,Отчество,Код клиента,day,month,year,birth_date
2-я-1990,Авдей,Абакумов,Богданович,2,2,,1990,
1947,Адам,Абашев,Вадимович,10,,,1947,
1951 год,Андриян,Абашин,Валентинович,11,,,1951,
1986 Feb 10 Питер,Азарий,Абашкин,Валерианович,12,10,2,1986,1986-02-10
19861005 Москва,Алексей,Абдулин,Варламович,15,19,86,1005,1005-86-19
дата 05101986,Аникита,Боровик,Велимирович,24,5,10,1986,1986-10-05
дата 15 January 1959,Анисим,Боровицкий,Венедиктович,25,15,1,1959,1959-01-15
дата 1986/05 Москва,Антип,Боровко,Вениаминович,26,,,1986,
1948,Артем,Бородыня,Вильгельмович,35,,,1948,
1952 год,Архип,Бороздин,Виссарионович,36,,,1952,
1987 Feb 10 Питер,Аскольд,Боронин,Виталиевич,37,10,2,1987,1987-02-10
19861005 Москва,Бажен,Борыков,Владимирович,40,19,86,1005,1005-86-19
дата 05101987,Валентин,Ботвин,Вуколович,49,5,10,1987,1987-10-05
дата 15 January 1960,Валерий,Боткин,Вышеславович,50,15,1,1960,1960-01-15
дата 1986/05 Москва,Валерьян,Боцян,Вячеславович,51,,,1986,
1949,Виктор,Боярышников,Вавилич,60,,,1949,
1953 год,Викторин,Брагин,Вадимович,61,,,1953,
1988 Feb 10 Питер,Виссарион,Бражин,Валентинович,62,10,2,1988,1988-02-10
19861005 Москва,Владлен,Бражников,Валериевич,65,19,86,1005,1005-86-19
дата 05101988,Гавриил,Братков,Велизарович,74,5,10,1988,1988-10-05
дата 15 January 1961,Галактион,Братухин,Велимирович,75,15,1,1961,1961-01-15
дата 1986/05 Москва,Гедеон,Братцев,Венедиктович,76,,,1986,
1950,Григорий,Высоков,Виленович,85,,,1950,
1954 год,Гурий,Высокович,Вильгельмович,86,,,1954,
1989 Feb 10 Питер,Давыд,Высокоостровский,Виссарионович,87,10,2,1989,1989-02-10
19861005 Москва,Демид,Выходцев,Владиленович,90,19,86,1005,1005-86-19
дата 05101989,Евдоким,Вьющенко,Всеславович,99,5,10,1989,1989-10-05
дата 15 January 1962,Евлампий,Вязгин,Вуколович,100,15,1,1962,1962-01-15
дата 1986/05 Москва,Евсей,Вязгунов,Вышеславович,101,,,1986,
1951,Ермил,Вялов,Брониславович,110,,,1951,
1955 год,Ермолай,Вяльцев,Вавилич,111,,,1955,
1990 Feb 10 Питер,Ерофей,Вяткин,Вадимович,112,10,2,1990,1990-02-10
19861005 Москва,Захар,Вяхирев,Валерьянович,115,19,86,1005,1005-86-19
дата 05101990,Иларион,Голубцов,Вассианович,124,5,10,1990,1990-10-05
