Дата рождения,Имя,Фамилия,Отчество,Код клиента,day,month,year,birth_date
2-я-1990,Авдей,Абакумов,Богданович,2,,,,2-я-1990
1947,Адам,Абашев,Вадимович,10,,,,1947
1951 год,Андриян,Абашин,Валентинович,11,,,,1951 год
1986 Feb 10 Питер,Азарий,Абашкин,Валерианович,12,,,,1986 Feb 10 Питер
19861005 Москва,Алексей,Абдулин,Варламович,15,,,,19861005 Москва
дата 05101986,Аникита,Боровик,Велимирович,24,,,,дата 05101986
дата 15 January 1959,Анисим,Боровицкий,Венедиктович,25,,,,дата 15 January 1959
дата 1986/05 Москва,Антип,Боровко,Вениаминович,26,,,,дата 1986/05 Москва
1948,Артем,Бородыня,Вильгельмович,35,,,,1948
1952 год,Архип,Бороздин,Виссарионович,36,,,,1952 год
1987 Feb 10 Питер,Аскольд,Боронин,Виталиевич,37,,,,1987 Feb 10 Питер
19861005 Москва,Бажен,Борыков,Владимирович,40,,,,19861005 Москва
дата 05101987,Валентин,Ботвин,Вуколович,49,,,,дата 05101987
дата 15 January 1960,Валерий,Боткин,Вышеславович,50,,,,дата 15 January 1960
дата 1986/05 Москва,Валерьян,Боцян,Вячеславович,51,,,,дата 1986/05 Москва
1949,Виктор,Боярышников,Вавилич,60,,,,1949
1953 год,Викторин,Брагин,Вадимович,61,,,,1953 год
1988 Feb 10 Питер,Виссарион,Бражин,Валентинович,62,,,,1988 Feb 10 Питер
19861005 Москва,Владлен,Бражников,Валериевич,65,,,,19861005 Москва
дата 05101988,Гавриил,Братков,Велизарович,74,,,,дата 05101988
дата 15 January 1961,Галактион,Братухин,Велимирович,75,,,,дата 15 January 1961
дата 1986/05 Москва,Гедеон,Братцев,Венедиктович,76,,,,дата 1986/05 Москва
1950,Григорий,Высоков,Виленович,85,,,,1950
1954 год,Гурий,Высокович,Вильгельмович,86,,,,1954 год
1989 Feb 10 Питер,Давыд,Высокоостровский,Виссарионович,87,,,,1989 Feb 10 Питер
19861005 Москва,Демид,Выходцев,Владиленович,90,,,,19861005 Москва
дата 05101989,Евдоким,Вьющенко,Всеславович,99,,,,дата 05101989
дата 15 January 1962,Евлампий,Вязгин,Вуколович,100,,,,дата 15 January 1962
дата 1986/05 Москва,Евсей,Вязгунов,Вышеславович,101,,,,дата 1986/05 Москва
1951,Ермил,Вялов,Брониславович,110,,,,1951
